@relation 'estacao'

@attribute umidade real
@attribute velocidade_vento real
@attribute chuva real
@attribute radicao_solar real
@attribute et real
@attribute classe {Frio,Normal,Quente}
 
@data
92,0.9,0.00,122,0.05,Frio
75,1.3,0.00,326,0.18,Normal
66,0.0,0.00,487,0.28,Normal
62,0.9,0.00,561,0.36,Normal
56,2.2,0.00,582,0.38,Normal
47,2.2,0.00,726,0.48,Normal
41,2.7,0.00,623,0.48,Quente
39,2.7,0.00,513,0.41,Quente
44,2.7,0.00,342,0.30,Quente
52,1.8,0.00,130,0.15,Normal
66,0.4,0.00,15,0.03,Normal
71,0.9,0.00,0,0.03,Normal
79,0.4,0.00,0,0.03,Frio
76,0.9,0.00,0,0.03,Frio
77,0.9,0.00,0,0.03,Frio
85,0.4,0.00,0,0.03,Frio
89,1.3,0.00,0,0.03,Frio
90,0.9,0.00,0,0.00,Frio
90,0.4,0.00,0,0.00,Frio
94,0.9,0.00,0,0.00,Frio
89,0.9,0.00,0,0.00,Frio
92,0.9,0.00,0,0.00,Frio
87,1.8,0.00,0,0.03,Frio
87,0.9,0.00,6,0.00,Frio
82,0.4,0.00,126,0.08,Frio
62,1.3,0.00,335,0.20,Normal
50,2.2,0.00,507,0.36,Normal
42,2.7,0.00,627,0.46,Normal
39,3.1,0.00,687,0.53,Normal
34,3.1,0.00,689,0.56,Quente
31,3.1,0.00,622,0.51,Quente
29,3.6,0.00,504,0.48,Quente
28,3.6,0.00,349,0.36,Quente
35,2.7,0.00,161,0.20,Quente
54,1.3,0.00,20,0.05,Normal
64,0.4,0.00,0,0.05,Normal
70,0.9,0.00,0,0.03,Frio
76,0.4,0.00,0,0.03,Frio
68,1.3,0.00,0,0.03,Frio
76,0.4,0.00,0,0.03,Frio
79,1.3,0.00,0,0.03,Frio
81,1.3,0.00,0,0.03,Frio
79,1.3,0.00,0,0.03,Frio
83,0.4,0.00,0,0.03,Frio
86,0.4,0.00,0,0.00,Frio
84,0.9,0.00,0,0.03,Frio
86,1.3,0.00,0,0.03,Frio
87,1.3,0.00,8,0.00,Frio
78,0.9,0.00,122,0.08,Frio
65,1.3,0.00,340,0.20,Normal
59,1.8,0.00,415,0.28,Normal
54,2.2,0.00,620,0.41,Normal
48,3.1,0.00,683,0.51,Normal
44,4.5,0.00,699,0.56,Normal
44,4.5,0.00,593,0.51,Normal
45,4.0,0.00,482,0.41,Normal
44,3.6,0.00,322,0.33,Normal
48,4.0,0.00,145,0.23,Normal
58,2.7,0.00,15,0.08,Normal
70,1.3,0.00,0,0.05,Normal
71,2.2,0.00,0,0.05,Frio
76,1.8,0.00,0,0.05,Frio
81,1.3,0.00,0,0.03,Frio
79,0.9,0.00,0,0.03,Frio
82,1.3,0.00,0,0.03,Frio
83,2.2,0.00,0,0.03,Frio
85,1.8,0.00,0,0.03,Frio
82,2.2,0.00,0,0.03,Frio
83,1.8,0.00,0,0.03,Frio
84,1.8,0.00,0,0.03,Frio
87,1.3,0.00,0,0.03,Frio
